bedrooms,bathrooms,price,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_is_superhost_t
1.0,1.0,158.0,1,9,4.89,4.97,0,False,False,False,True
2.0,2.0,250.0,2,0,4.88,4.77,0,False,False,False,False
1.0,2.0,62.0,3,14,4.76,4.58,3,False,True,False,True
3.0,4.0,55.0,20,0,4.7,4.7,20,False,True,False,True
1.0,1.5,527.0,1,29,4.87,4.94,0,False,False,False,False
1.0,1.5,107.0,3,10,4.97,4.62,2,False,True,False,True
0.0,1.0,100.0,1,0,4.93,4.82,0,False,False,False,False
1.0,1.0,70.0,2,0,4.79,4.97,1,False,True,False,True
1.0,3.0,65.0,20,30,4.0,4.57,20,False,True,False,True
1.0,3.0,65.0,20,30,3.5,4.67,20,False,True,False,True
1.0,1.5,115.0,1,2,4.93,4.95,1,False,True,False,True
0.0,1.0,95.0,1,0,4.85,4.88,0,False,False,False,True
1.0,1.0,116.0,2,4,4.89,4.91,1,False,True,False,True
1.0,1.0,251.0,1,30,4.88,4.87,0,False,False,False,False
1.0,1.0,169.0,2,21,4.91,4.86,1,False,True,False,True
1.0,1.0,254.0,2,8,4.86,4.92,0,False,False,False,True
1.0,1.0,160.0,1,10,4.97,4.94,1,False,True,False,False
1.0,1.0,200.0,1,6,4.97,4.9,0,False,False,False,True
2.0,1.0,162.0,1,0,4.81,4.48,0,False,False,False,False
0.0,1.0,89.0,1,0,4.92,4.89,0,False,False,False,False
1.0,1.0,116.0,6,0,4.63,4.43,0,False,False,False,True
1.0,1.0,130.0,2,0,4.76,4.94,0,False,False,False,False
1.0,1.0,178.0,2,0,4.97,4.97,0,False,False,False,True
1.0,1.0,74.0,1,0,4.82,4.88,1,False,True,False,False
0.0,1.0,77.0,2,1,4.65,4.91,0,False,False,False,False
1.0,1.0,130.0,7,0,4.87,4.92,3,False,False,False,True
1.0,1.0,126.0,1,24,4.89,4.87,0,False,False,False,False
1.0,1.5,65.0,7,3,4.6,4.83,3,False,True,False,True
1.0,1.0,139.0,1,0,4.5,4.83,0,False,False,False,True
1.0,1.0,145.0,7,0,4.74,4.9,3,False,False,False,True
1.0,1.0,170.0,5,0,4.77,4.75,0,False,False,False,True
1.0,1.0,170.0,5,0,4.81,4.75,0,False,False,False,True
1.0,1.0,126.0,1,0,4.63,4.42,0,False,False,False,False
5.0,2.0,439.0,2,8,5.0,4.84,0,False,False,False,True
1.0,1.0,210.0,2,7,4.69,4.71,0,False,False,False,False
1.0,1.0,155.0,2,14,4.97,4.89,1,False,True,False,True
0.0,1.0,100.0,2,30,4.15,4.36,0,False,False,False,False
1.0,1.0,277.0,2,6,4.83,4.87,0,False,False,False,True
1.0,1.0,116.0,1,0,4.91,4.92,0,False,False,False,True
1.0,1.0,57.0,5,24,4.62,4.8,1,False,False,True,True
1.0,1.0,132.0,1,5,4.95,4.8,0,False,False,False,True
